Id,Price (EUR),Transmission,Number of Gears,Body Type,Number of seats,Drive wheel,Fuel Type,Number of Cylinders,Volume of engine,Power,Max Torque,Top Speed,Acceleration to 100km/h,Combined consumption l/100km
26657,26645,5 speed manual transmission,5,"5-doors, suv/crossover",5,front,gasoline,4,1997,136,176,192.0,10.7,9.1
26675,29999,5 speed manual transmission,5,"5-doors, suv/crossover",5,front,gasoline,4,2360,170,232,190.0,9.6,9.2
26689,30433,5 speed manual transmission,5,"5-doors, suv/crossover",5,front,gasoline,4,1998,147,199,184.0,10.8,7.5
26706,23999,5 speed manual transmission,5,"5-doors, suv/crossover",5,front,gasoline,4,1997,136,176,192.0,10.7,9.1
26714,38206,4 speed automatic,4,"3-doors, suv/crossover",5,front+rear,gasoline,6,2972,150,236,165.0,NaN,13.5
1,23200,5 speed manual transmission,5,"3-doors, hatchback",4,front,gasoline,4,1368,135,206,205.0,7.9,6.5
2,25500,5 speed manual transmission,5,"3-doors, convertible",4,front,gasoline,4,1368,135,206,205.0,7.9,6.5
4,21990,6 speed manual transmission,6,"3-doors, hatchback",4,front,gasoline,4,1368,155,201,208.0,8.2,6.9
5,24545,6 speed manual transmission,6,"3-doors, hatchback",4,front,gasoline,4,1368,165,250,213.0,7.9,6.0
7,30000,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1970,165,206,220.0,8.2,8.9
24,14516,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1370,103,124,185.0,11.2,7.9
31,13591,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1351,90,115,179.0,12.8,8.3
48,15288,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1370,103,124,187.0,11.5,7.9
55,18790,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.1
87,19265,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.1
113,19795,5 speed manual transmission,5,"3-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.2
150,19340,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.1
181,19815,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.1
207,21950,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1598,105,140,185.0,11.3,8.2
244,17471,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1749,116,146,191.0,11.8,8.1
252,17675,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,120,144,195.0,11.4,7.8
264,23100,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,120,144,200.0,10.5,8.2
280,24685,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,120,146,200.0,10.5,8.2
294,24250,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1598,120,146,200.0,10.5,8.2
328,24500,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1598,120,144,200.0,11.0,8.3
344,26185,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1598,120,146,200.0,11.6,8.3
358,25750,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1598,120,146,200.0,11.6,8.3
394,38855,6 speed manual transmission,6,"5-doors, station wagon",5,front+rear,diesel,4,1910,150,305,192.0,10.5,7.1
396,28750,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1796,140,175,206.0,10.2,7.7
462,28450,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1796,140,175,208.0,10.2,7.6
537,29850,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1796,140,175,204.0,10.4,7.9
603,29650,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1796,140,175,206.0,10.4,7.8
678,25094,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1962,148,186,210.0,9.2,8.3
685,24863,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1962,146,187,210.0,9.9,8.2
696,33870,5 speed manual transmission,5,"4-doors, sedan",5,front,gasoline,4,1970,155,187,213.0,9.6,9.7
714,35220,6 speed manual transmission,6,"4-doors, sedan",5,front,gasoline,4,1970,150,181,211.0,9.8,9.7
732,9071,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1350,79,111,167.0,11.5,7.8
738,10705,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1350,79,111,167.0,11.5,7.9
744,12111,5 speed manual transmission,5,"5-doors, hatchback",5,front,gasoline,4,1351,88,119,176.0,10.3,7.8
753,16422,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1490,95,130,175.0,NaN,8.2
755,12955,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1350,86,119,172.0,10.7,7.8
756,13818,5 speed manual transmission,5,"5-doors, station wagon",5,front,gasoline,4,1351,90,113,177.0,11.9,7.6
